#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:lineage1_cluster6" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:lineage1_cluster6" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:lineage1_cluster6" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:lineage1_cluster6" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:lineage1_cluster6" spec="beast.base.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:lineage1_cluster6" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="BTB-1139=2014-07-30,BTB-1146=2014-08-05,BTB-1705=2015-06-10,BTB-175=2013-01-16,BTB-1774=2015-07-30,BTB-262=2013-03-18,BTB-604=2013-10-17">
#                        <taxa id="TaxonSet.lineage1_cluster6" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.lineage1_cluster6"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:lineage1_cluster6" name="distribution">
#            <parameter id="clockRate.c:lineage1_cluster6" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.03</parameter>
#            <Uniform id="Uniform.0" lower="0.003" name="distr" upper="0.15"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:lineage1_cluster6" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:lineage1_cluster6" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior.s:lineage1_cluster6" name="distribution">
#            <parameter id="kappa.s:lineage1_cluster6" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:lineage1_cluster6" name="distribution" x="@popSize.t:lineage1_cluster6">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@lineage1_cluster6" id="treeLikelihood.lineage1_cluster6" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:lineage1_cluster6">
#            <siteModel id="SiteModel.s:lineage1_cluster6" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:lineage1_cluster6" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:lineage1_cluster6" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:lineage1_cluster6" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:lineage1_cluster6" kappa="@kappa.s:lineage1_cluster6" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:lineage1_cluster6" id="estimatedFreqs.s:lineage1_cluster6" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:lineage1_cluster6" id="StrictClock.c:lineage1_cluster6" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-106.70225148999444	-90.0099126935719	-16.69233879642253	-90.0099126935719	2.583844032471876	5.991518731220017	0.03	2.0	0.25	0.25	0.25	0.25	0.3	-8.939809526027952
1000	-84.08198884297724	-57.28410315063218	-26.79788569234507	-57.28410315063218	11.491099404482577	31.508466048533364	0.007777665652960856	2.658789897083358	0.11055918640316197	0.22576497802187015	0.33147436947936815	0.33220146609559975	6.31838849446511	-16.6169074174845
2000	-87.90405167520866	-53.08755340707336	-34.816498268135305	-53.08755340707336	19.16525123357988	59.28503358327184	0.004665964009135393	8.242703842957056	0.07490110563223472	0.23083902784949822	0.34500046019561903	0.34925940632264807	12.136640899413138	-21.554645326155047
3000	-85.75199666162035	-59.885230057435166	-25.86676660418518	-59.885230057435166	9.601358323105083	22.871029901838103	0.026274863006495393	26.295536095817194	0.13342907735315904	0.39278979401787467	0.24658376563873058	0.22719736299023577	2.2767299777543344	-13.092709524372504
4000	-80.38209320860297	-54.8659580075055	-25.516135201097466	-54.8659580075055	6.403473079867109	16.736839602796238	0.028852982864196318	16.60735652054391	0.06494607848940412	0.42216358239633683	0.3531065143822183	0.1597838247320408	1.6112186026270863	-13.154885289217388
5000	-78.54101212422144	-54.49263370886509	-24.04837841535635	-54.49263370886509	3.8729422778840856	12.548353634998044	0.010743613804026062	12.243979442133634	0.25400814287952517	0.3279819014235844	0.13253941646666859	0.28547053923022186	3.396665441341222	-12.62974577289519
6000	-72.28673759782183	-54.97637676588921	-17.310360831932606	-54.97637676588921	3.707011742120987	9.049623077231217	0.011218459503493048	3.2536175550701216	0.14275821924614956	0.385282317010432	0.10335259656363509	0.3686068671797833	1.9641957916120112	-7.945939131813582
7000	-76.74777123203836	-55.05538477769599	-21.69238645434237	-55.05538477769599	5.54337098884228	14.551316335643397	0.012371011831413965	4.953446232010409	0.09233329183800551	0.2321910696426001	0.17400340676783424	0.5014722317515602	3.1070500652250184	-11.25437501236796
8000	-76.33015067227066	-55.2896354701454	-21.040515202125263	-55.2896354701454	4.644759914476168	12.67939584509974	0.01825039468056312	6.431523721294988	0.17140538626739812	0.2416089033895937	0.2645934260737375	0.32239228426927075	1.2915168382114097	-11.709418600244081
9000	-79.49297448727955	-52.880272839956596	-26.612701647322965	-52.880272839956596	7.149253415694777	21.80145109032458	0.013893036613872095	3.8254975155815902	0.07514746217471656	0.36568460135983966	0.1875972907064385	0.3715706457590053	2.3479149385927975	-16.733473080202856
10000	-76.79795277287121	-52.65918886942699	-24.138763903444215	-52.65918886942699	4.650413007627467	13.27715291133645	0.008945569607635139	8.98726292905265	0.24807666999755984	0.40382289568513896	0.1659716968704375	0.18212873744686367	4.980314300181765	-12.79009825886356
11000	-77.25918250734252	-54.01700294828752	-23.242179559054993	-54.01700294828752	4.289219674323858	11.851436123944811	0.0077717440909549915	16.734408550443824	0.13586252593186335	0.4881195274441262	0.28480814144604866	0.09120980517796187	2.3875787144345897	-10.78854797191181
12000	-79.79495745527682	-55.246076561121846	-24.54888089415497	-55.246076561121846	4.624612408679056	12.970123544410384	0.011858671957291232	24.629063852048603	0.2787701746078639	0.47007388529437094	0.09659108127754036	0.15456485882022475	3.1518158325456858	-11.09748454638777
13000	-82.57900211624987	-57.671590862069486	-24.907411254180385	-57.671590862069486	7.086154984053973	17.463843143959913	0.03977547687969845	15.974154123621295	0.24181559800472535	0.5625436044184831	0.10279027691489398	0.09285052066189756	3.4888570178576055	-11.826195665665495
14000	-80.53816375856208	-55.507655393199514	-25.03050836536256	-55.507655393199514	3.57200599324134	10.558803195689576	0.009889513491576527	25.862428042726716	0.21432124860303736	0.5856373290077127	0.0959490346502862	0.10409238773896379	3.141417550865875	-10.945674366494353
15000	-80.65909944433399	-58.44145135855784	-22.217648085776148	-58.44145135855784	10.132232206884321	23.104834878361338	0.005225560344612084	6.255445791910788	0.28997963151699735	0.33876847399368787	0.1352146016669385	0.23603729282237643	2.786912849771553	-12.18351484579861
16000	-81.29042358034053	-55.843295292179235	-25.447128288161288	-55.843295292179235	5.259394009061695	17.039843952864626	0.003953876212882504	6.255445791910788	0.28997963151699735	0.33876847399368787	0.1352146016669385	0.23603729282237643	5.220286165831852	-14.649312448972026
17000	-83.09036643033157	-55.36628747690168	-27.724078953429892	-55.36628747690168	9.132451287985075	24.87745129948825	0.0054708597033507195	8.119728688820166	0.1287309060820524	0.4773155622349968	0.17090080955624895	0.2230527221267018	7.5306801294134775	-15.621584196975718
18000	-82.75821636404527	-56.719120817218695	-26.03909554682658	-56.719120817218695	6.65739454059104	20.390698155451016	0.010136464274870393	2.4020640929794905	0.08738062927288336	0.14353932968543262	0.15010732523607936	0.6189727158056046	5.574264808266173	-15.159739509465997
19000	-76.6675409009809	-53.00351182740188	-23.664029073579012	-53.00351182740188	5.453031941844596	17.121730346404135	0.005801983749090015	3.8657649000606917	0.11479476138118305	0.2760944720939946	0.23472662435772307	0.37438414216709937	4.080561175074475	-13.705523830552245
20000	-81.22105387647697	-55.897182366888146	-25.323871509588827	-55.897182366888146	5.245641500154926	17.55992586328204	0.0381068271420869	4.076448922277075	0.17203424991586072	0.3166396632639045	0.12703740461728544	0.3842886822029492	2.6739430438006324	-15.732528724011164
21000	-72.6796578325824	-53.040572064572615	-19.639085768009778	-53.040572064572615	4.301908115268439	11.678862834104851	0.022247737626557917	4.7119463367068155	0.17203424991586072	0.3166396632639045	0.12703740461728544	0.3842886822029492	2.183217683486398	-10.04604459899693
22000	-83.81605649918448	-52.2902388590798	-31.525817640104687	-52.2902388590798	9.260655043304332	29.782392472503286	0.006238781216548155	4.7119463367068155	0.17203424991586072	0.3166396632639045	0.12703740461728544	0.3842886822029492	2.137193968203498	-21.950948272964123
23000	-78.94368818488313	-52.93375631481009	-26.00993187007304	-52.93375631481009	5.147259885891375	17.71909470894029	0.01287466803197235	6.896201393001172	0.19553500202301258	0.45515058961882066	0.16146794248048632	0.18784646587768028	2.8366798241743227	-15.66323970339247
24000	-78.93127400389884	-52.1621486520966	-26.76912535180223	-52.1621486520966	9.736568623439785	26.612966249837008	0.0038270979397725135	7.969883828630334	0.10257154826789938	0.3713129417017179	0.4038548451342998	0.12226066489608292	4.290285027524236	-15.194558767238435
