#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:lineage2_cluster3" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:lineage2_cluster3" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:lineage2_cluster3" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:lineage2_cluster3" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:lineage2_cluster3" spec="beast.base.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:lineage2_cluster3" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="BTB-1025=2014-05-13,BTB-272=2013-03-20,BTB-513=2013-08-29,BTB-623=2013-10-23,BTB-719=2013-11-27,BTB-739=2013-12-05">
#                        <taxa id="TaxonSet.lineage2_cluster3" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.lineage2_cluster3"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:lineage2_cluster3" name="distribution">
#            <parameter id="clockRate.c:lineage2_cluster3" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0323076923076923</parameter>
#            <Uniform id="Uniform.0" lower="0.00323076923076923" name="distr" upper="0.161538461538462"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:lineage2_cluster3" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:lineage2_cluster3" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior.s:lineage2_cluster3" name="distribution">
#            <parameter id="kappa.s:lineage2_cluster3" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:lineage2_cluster3" name="distribution" x="@popSize.t:lineage2_cluster3">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@lineage2_cluster3" id="treeLikelihood.lineage2_cluster3" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:lineage2_cluster3">
#            <siteModel id="SiteModel.s:lineage2_cluster3" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:lineage2_cluster3" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:lineage2_cluster3" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:lineage2_cluster3" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:lineage2_cluster3" kappa="@kappa.s:lineage2_cluster3" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:lineage2_cluster3" id="estimatedFreqs.s:lineage2_cluster3" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:lineage2_cluster3" id="StrictClock.c:lineage2_cluster3" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-95.36197462541058	-85.91695360458284	-9.44502102082774	-85.91695360458284	1.925593313761735	3.8163189214508737	0.0323076923076923	2.0	0.25	0.25	0.25	0.25	0.3	-1.6183837782794368
1000	-76.3152642327097	-58.05235250908551	-18.262911723624192	-58.05235250908551	2.6522693248413645	8.586968259938796	0.028540575705354274	2.7894551587720433	0.31945894068834474	0.2406712963181172	0.23662041016727983	0.20324935282625822	2.5474066866233986	-9.484172429146358
2000	-75.86394989101672	-66.3777208522238	-9.486229038792915	-66.3777208522238	1.245797389190991	2.290286867917708	0.09745088430334507	8.821879350768246	0.47743659706334063	0.12740592268286965	0.21372265959607323	0.18143482065771657	0.49811993719411657	0.6980138922990029
3000	-74.37253622018262	-62.09952219632589	-12.273014023856733	-62.09952219632589	1.4374327184023468	3.3385604168400023	0.024149936346342223	8.25915507272126	0.4270478210271092	0.17262452974635875	0.21317885104375392	0.18714879818277805	0.6020561992272254	-2.473617874729812
4000	-71.68793069538283	-64.24738335313593	-7.440547342246907	-64.24738335313593	1.200285198171152	2.0938240856289774	0.020636748277029583	4.567802130876862	0.2961695410365585	0.12620171534316216	0.2998300163550538	0.27779872726522553	0.4565608006272774	1.4445652492253522
5000	-79.95084279001026	-60.23300781981076	-19.717834970199497	-60.23300781981076	4.227622334816937	12.100730093571974	0.01003135379392232	2.2574129873190985	0.4026335903747673	0.278640928196854	0.196276985968678	0.12244849545970064	2.2596559776679066	-10.859866021984558
6000	-74.02901638605505	-56.68152182841146	-17.34749455764358	-56.68152182841146	2.458116939496276	6.840845797466471	0.007309305815253894	4.108226093929915	0.46386231637790754	0.23739188528828967	0.1698103482259657	0.12893545010783722	2.297000892236154	-7.72060242181363
7000	-74.46415117483598	-55.01641211500423	-19.44773905983175	-55.01641211500423	2.4556826055326177	8.283435648625066	0.00538049845102134	4.831550502817139	0.2504414227003692	0.34222680760347257	0.28473769036970703	0.12259407932645143	2.545393837004463	-9.738040017036417
8000	-78.37191192292543	-57.39703437667084	-20.974877546254593	-57.39703437667084	3.5434141095162075	12.582454847606492	0.027835262729252547	2.728341304858988	0.30441548805182694	0.17705909680737783	0.3458855195374565	0.17263989560333856	2.7165939138985684	-11.988680863204403
9000	-73.52541324203249	-57.88684515081409	-15.638568091218396	-57.88684515081409	1.4864681898670256	3.597310853478156	0.01669743721242265	5.853619614053867	0.1195550867499823	0.3128353846847189	0.44374809771830226	0.12386143084699655	2.096355513365541	-5.376616857905895
10000	-82.80919227178688	-61.40521971696762	-21.403972554819266	-61.40521971696762	2.4326296007381294	8.162580261001912	0.021811055387130567	16.17734173114181	0.14325195828278434	0.44617948931787926	0.29573642381031184	0.1148321285890246	2.5020120677373554	-9.211018778690418
11000	-90.51460091498387	-64.96734914382192	-25.547251771161953	-64.96734914382192	4.046334186319152	14.104178953818064	0.06426745254927696	10.709102881264164	0.2256239054268533	0.47972957838570945	0.20088833881462323	0.09375817737281414	6.369946603290488	-12.932748676332869
12000	-76.2827606305306	-57.49788182460296	-18.784878805927644	-57.49788182460296	2.211635937735797	6.99921608782559	0.03775752992494136	6.744358034153598	0.16410957491817563	0.5306406098910376	0.20659075100990895	0.09865906418087786	1.8979835676220975	-8.234790490701295
13000	-89.5734250942636	-60.88913208071012	-28.68429301355348	-60.88913208071012	12.04825395997468	39.26206280138193	0.004365240402172651	2.7870437070979	0.2332229577367879	0.37677487272068877	0.2773019723981769	0.11270019714434652	10.346236315896268	-17.550128850451948
14000	-88.89555644644632	-57.76608868728339	-31.129467759162928	-57.76608868728339	11.797544258369342	41.67768177608712	0.011470584318965327	8.324511602763357	0.2623063041723549	0.3169712462033679	0.2961193359095263	0.12460311371475093	6.332415053781287	-19.471465630079855
15000	-78.96773270295321	-57.27694342182731	-21.69078928112591	-57.27694342182731	3.009035902821721	10.973677514593467	0.03324548924078183	5.756112221095597	0.28368477295404865	0.29201820306828147	0.22596177140812834	0.19833525256954163	3.9771972926469186	-11.52048151926442
16000	-70.2630487115048	-61.245996638938614	-9.017052072566186	-61.245996638938614	1.4261467671012533	2.798605836094257	0.09855563151235155	3.8470243391247454	0.3273211499931521	0.23622389534924876	0.2844287464753746	0.15202620818222456	0.4676236507359531	-0.4561821995665529
17000	-76.40990028140847	-56.19599807875201	-20.213902202656456	-56.19599807875201	2.5237374866766236	9.37298425323457	0.03672490631693378	3.8470243391247454	0.3273211499931521	0.23622389534924876	0.2844287464753746	0.15202620818222456	2.3111470951911652	-11.038107269866549
18000	-72.53985372485448	-56.03380033621634	-16.50605338863815	-56.03380033621634	1.7809745904743228	5.747305810141253	0.048619982015536606	4.333944121380028	0.3273211499931521	0.23622389534924876	0.2844287464753746	0.15202620818222456	1.2401556108341476	-7.6139041062622
